iter	Passed	Remaining
0	129	129755
1	132	65928
2	134	44586
3	136	33878
4	138	27494
5	140	23292
6	142	20278
7	145	17997
8	147	16205
9	149	14754
10	150	13546
11	152	12529
12	153	11689
13	155	10974
14	157	10361
15	159	9786
16	160	9274
17	161	8817
18	162	8408
19	163	8031
20	164	7679
21	165	7353
22	166	7056
23	166	6782
24	167	6530
25	168	6299
26	168	6086
27	169	5894
28	170	5709
29	171	5536
30	171	5374
31	172	5224
32	173	5082
33	174	4947
34	174	4819
35	175	4696
36	176	4581
37	176	4472
38	177	4368
39	177	4268
40	178	4174
41	179	4085
42	179	4000
43	180	3930
44	181	3854
45	182	3780
46	183	3711
47	183	3645
48	184	3586
49	185	3526
50	186	3469
51	187	3416
52	188	3362
53	188	3308
54	189	3255
55	190	3205
56	190	3156
57	191	3108
58	192	3063
59	192	3018
60	193	2975
61	193	2933
62	194	2892
63	195	2853
64	195	2815
65	196	2779
66	197	2744
67	197	2712
68	198	2683
69	199	2653
70	200	2623
71	201	2594
72	201	2564
73	202	2537
74	203	2509
75	204	2482
76	204	2455
77	205	2428
78	206	2404
79	206	2379
80	207	2356
81	208	2333
82	208	2306
83	209	2284
84	210	2264
85	211	2246
86	212	2228
87	213	2216
88	214	2199
89	215	2181
90	216	2162
91	217	2144
92	217	2125
93	218	2107
94	219	2090
95	220	2072
96	220	2056
97	221	2038
98	222	2022
99	222	2005
100	223	1989
101	224	1974
102	225	1960
103	226	1947
104	234	1999
105	235	1988
106	236	1976
107	237	1964
108	238	1952
109	239	1940
110	244	1955
111	247	1964
112	248	1952
113	249	1941
114	250	1930
115	252	1927
116	253	1914
117	254	1904
118	255	1894
119	257	1887
120	259	1883
121	262	1889
122	263	1880
123	264	1871
124	266	1862
125	267	1853
126	267	1841
127	280	1909
128	281	1900
129	282	1891
130	283	1879
131	284	1868
132	284	1856
133	285	1845
134	286	1835
135	287	1827
136	288	1816
137	289	1805
138	289	1795
139	290	1785
140	291	1774
141	291	1762
142	292	1753
143	293	1744
144	294	1736
145	295	1729
146	296	1720
147	297	1711
148	298	1704
149	299	1695
150	300	1688
151	301	1682
152	303	1677
153	304	1670
154	304	1661
155	305	1652
156	306	1643
157	306	1634
158	307	1625
159	308	1617
160	308	1607
161	309	1599
162	309	1590
163	310	1582
164	310	1573
165	311	1565
166	312	1557
167	312	1549
168	313	1541
169	314	1534
170	315	1527
171	316	1521
172	316	1514
173	317	1507
174	318	1500
175	319	1493
176	319	1486
177	320	1479
178	321	1473
179	321	1466
180	322	1459
181	323	1452
182	323	1445
183	324	1438
184	324	1431
185	325	1424
186	326	1417
187	326	1410
188	327	1404
189	327	1397
190	328	1391
191	329	1387
192	330	1382
193	331	1376
194	331	1370
195	332	1364
196	333	1358
197	333	1352
198	334	1347
199	335	1341
200	335	1335
201	336	1329
202	337	1323
203	337	1318
204	338	1312
205	339	1307
206	339	1301
207	340	1295
208	340	1290
209	341	1284
210	342	1279
211	342	1274
212	343	1269
213	344	1265
214	345	1260
215	345	1255
216	346	1250
217	347	1245
218	347	1240
219	348	1235
220	349	1230
221	349	1225
222	350	1220
223	350	1215
224	351	1210
225	352	1206
226	352	1201
227	353	1196
228	354	1191
229	354	1187
230	355	1182
231	355	1178
232	356	1173
233	357	1169
234	358	1166
235	359	1162
236	359	1158
237	360	1154
238	361	1149
239	361	1145
240	362	1140
241	362	1136
242	363	1133
243	364	1129
244	365	1126
245	366	1122
246	367	1120
247	367	1115
248	368	1111
249	369	1107
250	369	1103
251	370	1099
252	371	1095
253	371	1091
254	372	1089
255	373	1086
256	374	1082
257	374	1078
258	375	1074
259	376	1070
260	376	1066
261	377	1063
262	377	1059
263	378	1055
264	379	1051
265	379	1047
266	380	1044
267	380	1040
268	381	1036
269	382	1033
270	382	1029
271	384	1028
272	385	1025
273	385	1022
274	386	1019
275	388	1018
276	389	1016
277	390	1014
278	391	1011
279	392	1009
280	393	1006
281	394	1003
282	394	1000
283	395	997
284	396	994
285	397	992
286	398	991
287	400	990
288	402	991
289	403	988
290	404	986
291	405	983
292	406	981
293	407	978
294	408	975
295	409	973
296	409	970
297	410	967
298	411	964
299	412	961
300	413	959
301	413	956
302	414	954
303	415	951
304	417	950
305	417	947
306	418	945
307	419	943
308	420	941
309	431	960
310	433	959
311	434	958
312	435	956
313	436	954
314	437	951
315	438	948
316	438	945
317	439	942
318	440	939
319	440	937
320	441	934
321	442	931
322	443	929
323	444	927
324	445	926
325	446	923
326	447	921
327	448	918
328	449	915
329	449	913
330	450	910
331	451	908
332	452	905
333	453	903
334	454	901
335	454	899
336	455	896
337	456	893
338	456	891
339	458	889
340	460	889
341	461	887
342	462	884
343	462	882
344	463	880
345	464	877
346	465	875
347	465	872
348	466	869
349	466	867
350	467	864
351	468	862
352	468	859
353	469	856
354	470	854
355	471	852
356	472	851
357	473	849
